,Time,Time_raw,SR,WT,SL,DL,interporated GSI_Female,interporated GSI_Male
0,0.0,2015-10-01,2.07,17.866666666666700,0.0,11.866666666666700,1.796217702937320,0.5851175412777150
1,1.0,2015-10-02,18.880000000000000,20.525,8.1,11.816666666666700,1.8166377673707500,0.5828256348111140
2,2.0,2015-10-03,20.59,18.158333333333300,10.8,11.783333333333300,1.8358761390483300,0.5818472457527120
3,3.0,2015-10-04,16.93,18.516666666666700,9.2,11.733333333333300,1.8539887279422200,0.5821034274401250
4,4.0,2015-10-05,11.080000000000000,18.02083333333330,1.0,11.716666666666700,1.8710314440245700,0.5835152332109730
5,5.0,2015-10-06,16.56,19.320833333333300,7.0,11.683333333333300,1.8870601972675500,0.5860037164028760
6,6.0,2015-10-07,20.21,18.004166666666700,10.9,11.633333333333300,1.9021308976432900,0.5894899303534510
7,7.0,2015-10-08,19.990000000000000,16.1125,10.8,11.6,1.9162994551239700,0.5938949284003180
8,8.0,2015-10-09,15.72,17.100000000000000,7.4,11.566666666666700,1.9296217796817500,0.5991397638810960
9,9.0,2015-10-10,6.820000000000000,16.295833333333300,0.0,11.533333333333300,1.942153781288760,0.6051454901334030
10,10.0,2015-10-11,2.9,18.087500000000000,0.0,11.5,1.9539513699171900,0.6118331604948580
11,11.0,2015-10-12,15.800000000000000,16.72083333333330,8.1,11.466666666666700,1.965070455539170,0.6191238283030800
12,12.0,2015-10-13,15.520000000000000,16.091666666666700,8.9,11.416666666666700,1.9755669481268700,0.6269385468956890
13,13.0,2015-10-14,19.0,16.012500000000000,10.9,11.383333333333300,1.9854967576524500,0.6351983696103010
14,14.0,2015-10-15,13.570000000000000,16.395833333333300,6.7,11.366666666666700,1.9949157940880500,0.6438243497845380
15,15.0,2015-10-16,17.900000000000000,18.383333333333300,9.1,11.316666666666700,2.003879967405850,0.6527375407560170
16,16.0,2015-10-17,15.44,19.48333333333330,4.6,11.283333333333300,2.0124451875779900,0.661858995862358
17,17.0,2015-10-18,17.810000000000000,20.250000000000000,10.7,11.25,2.0206673645766300,0.6711097684411790
18,18.0,2015-10-19,17.16,19.033333333333300,9.6,11.216666666666700,2.0286024083739300,0.6804109118300990
19,19.0,2015-10-20,14.93,18.78333333333330,8.2,11.166666666666700,2.0363062289420500,0.6896834793667360
20,20.0,2015-10-21,14.9,19.3375,9.1,11.133333333333300,2.0438347362531400,0.6988485243887110
21,21.0,2015-10-22,15.500000000000000,18.858333333333300,9.4,11.116666666666700,2.051243840279360,0.7078271002336410
22,22.0,2015-10-23,14.570000000000000,19.075000000000000,7.5,11.083333333333300,2.0585894509928700,0.7165402602391450
23,23.0,2015-10-24,13.680000000000000,18.34166666666670,6.5,11.05,2.065927478365820,0.7249090577428430
24,24.0,2015-10-25,17.790000000000000,13.875,10.6,11.016666666666700,2.0733138323703700,0.7328545460823530
25,25.0,2015-10-26,17.19,12.541666666666700,9.9,10.966666666666700,2.080804422978680,0.7402977785952940
26,26.0,2015-10-27,13.1,16.237500000000000,4.4,10.933333333333300,2.0884551601629100,0.7471598086192850
27,27.0,2015-10-28,16.5,16.933333333333300,10.0,10.9,2.096321953895200,0.7533616894919450
28,28.0,2015-10-29,15.810000000000000,13.883333333333300,9.9,10.866666666666700,2.1044607141477200,0.7588244745508920
29,29.0,2015-10-30,11.330000000000000,13.841666666666700,6.1,10.833333333333300,2.1129273508926300,0.7634692171337460
30,30.0,2015-10-31,12.960000000000000,11.891666666666700,7.7,10.816666666666700,2.1217777741020800,0.7672169705781250
31,31.0,2015-11-01,11.980000000000000,11.070833333333300,5.5,10.783333333333300,2.1310678937482300,0.7699887882216480
32,32.0,2015-11-02,3.0100000000000000,12.016666666666700,0.0,10.75,2.1408536198032300,0.7717057234019340
33,33.0,2015-11-03,15.79,13.03333333333330,10.1,10.716666666666700,2.1511908622392500,0.7722888294566020
34,34.0,2015-11-04,15.190000000000000,14.366666666666700,10.1,10.683333333333300,2.1621355310284300,0.7716591597232700
35,35.0,2015-11-05,15.32,14.645833333333300,9.6,10.65,2.1737435361429400,0.7697377675395580
36,36.0,2015-11-06,14.73,15.895833333333300,10.0,10.616666666666700,2.1860707875549400,0.7664457062430850
