Gene ID,Symbol,Alpha,Phi,RS,Description
101172377,LOC101172377,0.774178846,18.8884265,0.346945286,"collagen alpha-1(XII) chain (LOC101172377), transcript variant X1, mRNA;collagen alpha-1(XII) chain (LOC101172377), transcript variant X3, mRNA;collagen alpha-1(XII) chain (LOC101172377), transcript variant X2, mRNA;collagen alpha-1(XII) chain (LOC101172377), transcript variant X4, mRNA"
101158756,LOC101158756,0.65286852,19.11216588,0.615793534,"uncharacterized LOC101158756 (LOC101158756), transcript variant X1, mRNA;uncharacterized LOC101158756 (LOC101158756), transcript variant X2, mRNA"
BGI_novel_G000444,NA,4.607014547,19.55498551,0.357633757,NA
101172942,sobp,0.996121585,19.84890429,0.331797755,"sine oculis binding protein homolog (sobp), transcript variant X1, mRNA;sine oculis binding protein homolog (sobp), transcript variant X3, mRNA;sine oculis binding protein homolog (sobp), transcript variant X2, mRNA"
111946305,LOC111946305,4.099025954,20.17616964,0.34048853,"paraneoplastic antigen Ma3 homolog (LOC111946305), mRNA"
101162797,gskip,0.8632565,20.42143654,0.308822466,"GSK3B interacting protein (gskip), transcript variant X1, mRNA;GSK3B interacting protein (gskip), transcript variant X2, mRNA"
100529172,nlgn1,1.127095677,21.03751834,0.331759546,"neuroligin 1 (nlgn1), mRNA;neuroligin 1 (nlgn1), transcript variant X2, mRNA;neuroligin 1 (nlgn1), transcript variant X3, mRNA;neuroligin 1 (nlgn1), transcript variant X1, mRNA"
101175633,zar1,4.231385673,22.5888292,0.342639172,"zygote arrest 1 (zar1), transcript variant X2, mRNA;zygote arrest 1 (zar1), transcript variant X1, mRNA"
101158260,nell1,0.790921008,23.01021949,0.418387482,"neural EGFL like 1 (nell1), mRNA"
101158280,LOC101158280,0.745363329,23.15997083,0.35698851,"uncharacterized LOC101158280 (LOC101158280), transcript variant X1, mRNA"
101156787,kdm7a,0.735536659,23.31025864,0.336022442,"lysine demethylase 7A (kdm7a), mRNA"
101172512,LOC101172512,2.027652154,23.99530131,0.327850564,"arsenite methyltransferase-like (LOC101172512), mRNA"
101157028,LOC101157028,5.444300229,27.21054733,0.405098359,"C-type lectin domain family 17, member A-like (LOC101157028), transcript variant X1, mRNA;C-type lectin domain family 17, member A-like (LOC101157028), transcript variant X2, mRNA"
101163640,igf2bp1,1.390392763,29.16664015,0.464496488,"insulin like growth factor 2 mRNA binding protein 1 (igf2bp1), transcript variant X1, mRNA;insulin like growth factor 2 mRNA binding protein 1 (igf2bp1), transcript variant X2, mRNA"
111947636,LOC111947636,1.107840101,29.37310923,0.342111782,"uncharacterized protein C2orf16-like (LOC111947636), mRNA"
